school-eng	address	address-match
117438	4D5FRY	byhand
117463	5T8JQEXV	byhand
117571	5T8FR6JX	byhand
138288	5T8FR6JX	byhand
117410	9B09WT8	byhand
133773	4D5FST	byhand
117612	2X6MSN3M	
117593	2X6MYJWD	
136901	2X6MYJWD	
117427	4D55NA	byhand
117638	2X6MTCZY	byhand
117645	5T8JAQ7V	byhand
117483	4D5EF8	
117468	5T8JQ7VV	byhand
117478	5T8JAR3X	byhand
117633	9B09SPZ	byhand
132015	9B09NGR	byhand
117665	9B09NGR	byhand
117613	2X6MXKN9	byhand
117642	9C3H2ZP	byhand
117556	2X6N02Y7	byhand
138356	2X6N02Y7	
117564	9B1AJ33	byhand
117462	2X6MTEJG	
117624	9B1AJV4	
117627	9B1AJV4	
117440	2X6MXGZ6	byhand
117475	5T8FR8CM	byhand
117480	5T8JAK3D	byhand
117487	9ADX0CA	byhand
138316	9C3H55Z	byhand
117432	9B09VQM	byhand
117383	9B1AHEP	byhand
117460	5T8JHAGW	byhand
117435	5T8JHC7Q	byhand
117465	5T8FR5R8	byhand
117425	5T8FR5R8;4D51HB	
117429	5T8FR5R8;4D51HB	
117436	5T8FR5R8;4D51HB	
117629	9B1N3RZ	byhand
117671	2X6MTDT8	
117474	9C3QNHJ	
117606	9B1AJXQ	
117560	2X6MXNF8	byhand
138292	2X6MXNF8	byhand
117594	2X6MTJQC	
117595	4D5Z7N	byhand
138360	4D5Z7N	byhand
117497	2X6MTHYM	byhand
117447	5T8FR94D	byhand
117424	5T8JQGB2	byhand
117384	9APZMWE	byhand
117385	2X6MXMZZ	byhand
117409	2X6MXA4K	byhand
117166	2X6MYCWQ;2X6MYCWQ	
117426	2X6MTKB7	byhand
117451	9A1REK6	byhand
117461	5T8JHCKE	byhand
117456	9C3QNK2	byhand
117434	5T8JAR4F	byhand
117431	9B1AHZ8	byhand
117492	4D4Q8A	byhand
117417	9A1STCM	byhand
117441	2X6MYKF6	byhand
117399	4D5EGC	byhand
117144	2X6MXHA2	
117448	2X6MYHQ6	byhand
117140	2X6MT9N0	
117469	2X6MTBE4	
117484	2X6MTS96	byhand
129124		byhand
117466	9B1AHH8	byhand
117477	2X6MXKNC	byhand
138354	2X6MXKNC	byhand
117479	2X6MVBEF	byhand
117454	9B09WFA	byhand
135596	5T8FR15Q	
117507	2X6MTHCA	byhand
137847	2X6MTHCA	byhand
117640	2X6N040E	byhand
129177	2X6N040E	byhand
117455		byhand
130359	9C3QPE6	byhand
