school-eng	address	address-match
117502	2X6MXHSD	
117503	2X6MXHBD	
117504	9C3H9D6	
117505	5T8FVP7Q	
117506	2X6MXAZE	
117507	2X6MTHCA	byhand
117508	9A1STGM	
117509	2X6MXN06	
117510	9B1AHNG	
117511	2X6MTFDH	
117512	2X6MV4HS	byhand
117513	9APZDCT	
117514	2X6MTE5Z	
117515	2X6N0357	byhand
117516	9AE03ZN	byhand
117517	2X6MXG43	byhand
117518	2X6MXG42	byhand
117519	2X6MXBT7	byhand
117520	2X6MTFB6	
117521	9B1AKC2	byhand
117522	9AQ026H	byhand
117523	2X6MV9YH	
117524	2X6MTDMM	
117525	2X6MTGFN	
117526	5T8JQHE1	byhand
117527	2X6MTBBS	
117528	2X6MTSE5	
117529	4D5AAK	byhand
117530	9C3QPF9	byhand
117531	4D547M	byhand
117532	2X6MYE5R	byhand
117533	9C3QPAP	byhand
117534	9C3QRXM	byhand
117535	2X6MXCRP	
117536	5T8JH9XV	byhand
117537	2X6MXKNB	byhand
117538	4D5BSY	
117539	2X6MXNC2	
117540	2X6MXP1R	byhand
117541	5T8JQEGB	byhand
117542	2X6MXNC1	
117543	9B09WFM	byhand
117544	9B1AHM5	byhand
117545	2X6MXNAP	
117546	2X6MTH64	byhand
117547	2X6MTBBK	
117548	5T8JAHHX	
117549	9B09QS4	
117550	9C3QN4X	byhand
117551	2X6MXAD9	
117552	2X6MV56T	
117553	2X6MV863	
117554	2X6MXNXN	byhand
117555	5T8JAHPF	byhand
117556	2X6N02Y7	byhand
117557	2X6MTSAV	byhand
117558	2X6MTA14	byhand
117559	5T8JQHHF	byhand
117560	2X6MXNF8	byhand
117561	5T8FR9KA	
117562	9B1AHGK	
117563	9B09W9Z	byhand
117564	9B1AJ33	byhand
117565	2X6MTNZM	
117566	9B1AJKR	byhand
117567	5T8JHCF1	
117568	9B1AJVM	
117569	5T8JH99K	byhand
117570	2X6MTJ65	
117571	5T8FR6JX	byhand
117572	2X6MYHSM	
117573	5T8FR167	byhand
117574	2X6MTAPX	
117575	5T8FR333	byhand
117576	2X6MYGZH	
117577	2X6MTK6F	
117578	5T8GAB7X	
117579	9B1AJKN	
117580	9B1AK1T	
117581	9B1AJXE	
117582	9AE04NH	byhand
117583	9AE051S	
117584	2X6MTE5Y	byhand
117585	9C3QMQ7	byhand
117586	2X6MT9S6	
117587	4D4ME9	
117588	2X6MTJCP	
117589	5T8FR6GF	byhand
117590	2X6MSZSZ	byhand
117591	2X6MTHZS	
117592	2X6MZTDB	byhand
117593	2X6MYJWD	
117594	2X6MTJQC	
117595	4D5Z7N	byhand
117596	4D4TEG	
117597	4D5J74	
117598	9B09QK4	byhand
117599	9AE03ZM	
117600	2X6MZSBC	byhand
117601	9AD5D5B	
117602	9B1AK1W	byhand
117603	2X6MVB5T	byhand
117604	9A2N5H3	byhand
117605	2X6MZT6T	byhand
117606	9B1AJXQ	
117607	9B0A2RT	byhand
117608	2X6MTEZM	
117609	2X6MTHW3	
117610	5T8FVQ4M	byhand
117611	2X6MTRZW	byhand
117612	2X6MSN3M	
117613	2X6MXKN9	byhand
117614	9C3HAE9	byhand
117615	9AD5AX0	byhand
117616	5T8FRA72	byhand
117617	2X6MTA18	byhand
117618	5T8JQE17	byhand
117619	5T8FR0HC	byhand
117620	5T8JQ7WB	
117621	9B09XVA	
117622	5T8JHE7M	byhand
117623	2X6MVBCY	
117624	9B1AJV4	
117625	9B1AK06	byhand
117626	2X6MTF8X	byhand
117627	9B1AJV4	
117628	9B09W8M	byhand
117629	9B1N3RZ	byhand
117630	9C3H9WD	
117631	2X6MYKBT	byhand
117632	2X6MX9XX	
117633	9B09SPZ	byhand
117634	9AD5D5B	byhand
117635	2X6MYJ52	byhand
117636	2X6MYJ7Z	byhand
117637	5T8JAQSS	
117638	2X6MTCZY	byhand
117639	2X6MZ9W3	byhand
117640	2X6N040E	byhand
117641	5T8FR936	byhand
117642	9C3H2ZP	byhand
117643	9B1AJKE	
117644	9B1AJMG	
117645	5T8JAQ7V	byhand
117646	2X6MYN7R	byhand
117647	5T8JAGTK	
117648	9B1AHHC	
117649	9B1AGR6	byhand
117650	5T8JAREK	
117651	5T8FR93A	byhand
117652	9B1AH7W	byhand
117653	2X6MVB6A	byhand
117654	9B1AK1Z	byhand
117656	2X6MVAY2	byhand
117657	9AD52PD	byhand
